codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2177,30,752,2033,1948,30,727,0
2800209,Aquidabã,19796,18485,210,6214,17776,16006,212,8613,415
2800308,Aracaju,617927,590907,12715,303195,566020,508190,12911,301279,17671
2800407,Arauá,9040,8906,100,4856,9570,8401,102,4358,221
2800506,Areia Branca,16496,16171,185,7201,16430,15350,198,7261,239
2800605,Barra dos Coqueiros,26771,27425,845,15166,27436,23608,967,12447,561
2800670,Boquim,24448,23027,255,11721,21852,20246,252,11561,648
2800704,Brejo Grande,7405,7226,75,2090,7250,6382,75,2577,1
2801009,Campo do Brito,16627,17326,175,6771,15743,13717,175,7570,473
2801108,Canhoba,3666,3713,40,1675,3488,3033,40,1479,0
2801207,Canindé de São Francisco,26334,24179,275,11050,25143,22012,275,9490,291
2801306,Capela,31913,29477,315,12147,32092,28137,357,12316,645
2801405,Carira,19091,19429,195,10209,18435,16089,194,8564,436
2801504,Carmópolis,14082,13700,155,4719,12715,11458,155,4617,166
2801603,Cedro de São João,5215,5119,60,2571,4839,4465,60,2322,182
2801702,Cristinápolis,15769,16069,165,6280,15323,13596,165,5088,49
2801900,Cumbe,3807,3640,45,1632,3558,3269,45,1544,136
2802007,Divina Pastora,4518,4463,50,1879,4111,3999,50,2386,79
2802106,Estância,61018,59331,2500,25293,56404,52564,2510,26368,1198
2802205,Feira Nova,5285,5452,55,2661,5116,4523,57,2005,8
2802304,Frei Paulo,13567,13385,150,5393,13563,12550,150,5606,186
2802403,Gararu,10190,10407,120,4625,9940,9015,115,5122,295
2802502,General Maynard,3002,2815,35,1725,2711,2616,35,1773,123
2802601,Gracho Cardoso,5317,5281,65,2958,5672,5057,71,2313,158
2802700,Ilha das Flores,7602,7327,80,3026,7175,6120,80,3064,182
2802809,Indiaroba,15515,15594,145,4973,14833,14022,147,5675,269
2802908,Itabaiana,84026,78811,2400,47405,86938,76527,2519,43540,2078
2803005,Itabaianinha,36845,36527,370,9782,33590,28913,370,10674,255
2803104,Itabi,4604,4565,55,1993,4479,4053,56,2026,189
2803203,Itaporanga d'Ajuda,30646,32107,330,11137,30484,28190,330,14030,135
2803302,Japaratuba,15882,15922,175,6688,14897,13812,175,8520,480
2803401,Japoatã,11743,11703,135,6209,12234,10116,154,5594,184
2803500,Lagarto,92654,92856,2500,37357,89379,79398,2510,38952,1223
2803609,Laranjeiras,26613,27176,490,10608,25858,22389,502,12527,166
2803708,Macambira,6512,5993,70,3200,6395,5742,70,3283,256
2803807,Malhada dos Bois,3392,3373,40,1299,3069,3061,43,978,5
2803906,Malhador,11212,10752,120,4570,10801,9452,119,4769,40
2804003,Maruim,15252,14377,165,5756,13575,11859,165,6552,502
2804102,Moita Bonita,10146,10456,125,6726,10335,9528,138,5880,518
2804201,Monte Alegre de Sergipe,13481,13131,135,4760,12658,11173,135,5271,231
2804300,Muribeca,6889,7049,75,2477,6930,6392,75,3122,23
2804409,Neópolis,16129,15628,175,7075,14691,12685,175,6623,203
2804458,Nossa Senhora Aparecida,8043,8072,95,3892,7985,7219,111,3514,76
2804508,Nossa Senhora da Glória,33142,32170,1000,14498,32840,29360,968,14600,710
2804607,Nossa Senhora das Dores,23777,23869,245,9553,24542,20758,245,9421,272
2804706,Nossa Senhora de Lourdes,5747,5830,60,2955,5908,5274,53,2681,234
2804805,Nossa Senhora do Socorro,148039,147316,4100,54462,153724,134308,4175,65792,1151
2804904,Pacatuba,12599,12399,130,6208,11985,11258,136,6136,385
2805000,Pedra Mole,2848,2720,40,1476,2650,2525,42,1455,97
2805109,Pedrinhas,8819,8492,90,2987,7114,6209,91,2988,113
2805208,Pinhão,6384,5967,65,2870,5560,5201,73,2891,300
2805307,Pirambu,8274,8299,80,3821,7966,7400,80,3512,228
2805406,Poço Redondo,29406,30927,280,8370,27513,23324,280,10815,425
2805505,Poço Verde,22008,22219,210,8299,20139,18902,206,9745,278
2805604,Porto da Folha,24957,23869,265,12147,23866,22565,268,12659,697
2805703,Propriá,25990,28291,255,11174,25053,22640,258,10935,479
2805802,Riachão do Dantas,17490,17700,185,6132,16207,14298,183,7254,66
2805901,Riachuelo,8535,9060,100,3605,8099,6926,100,3389,103
2806008,Ribeirópolis,16494,15642,200,8813,15785,14438,197,7861,429
2806107,Rosário do Catete,9660,9694,105,3907,8969,7847,111,4593,196
2806206,Salgado,17683,16824,200,7741,16992,14743,200,7521,329
2806305,Santa Luzia do Itanhy,12205,12049,120,5226,11846,10739,114,5064,170
2806404,Santana do São Francisco,6147,5948,85,2612,6227,5814,85,2885,23
2806503,Santa Rosa de Lima,4350,4130,35,2014,3610,3372,35,1682,104
2806602,Santo Amaro das Brotas,10382,10047,125,5578,10073,9373,125,5283,282
2806701,São Cristóvão,80478,78712,2385,35456,76619,65419,2384,33521,498
2806800,São Domingos,10005,9661,110,4366,9023,8255,107,4420,255
2806909,São Francisco,3502,3458,40,1375,3008,2794,40,1812,111
