codigo_municipio,nome_municipio,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,enviadas_dose_reforco,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose_reforco,aplicadas_dose_reforco2
2800100,Amparo de São Francisco,2255,2177,30,752,2034,1954,30,732,0
2800209,Aquidabã,19796,18485,210,6214,17788,16046,212,8642,424
2800308,Aracaju,617927,590907,12715,303195,566020,509666,12911,303348,18467
2800407,Arauá,9040,8906,100,4856,9571,8409,102,4371,277
2800506,Areia Branca,16496,16171,185,7201,16431,15351,198,7336,243
2800605,Barra dos Coqueiros,26771,27425,845,15166,27459,23714,967,12568,581
2800670,Boquim,24448,23027,255,11721,21857,20254,252,11604,675
2800704,Brejo Grande,7405,7226,75,2090,7253,6403,75,2585,1
2801009,Campo do Brito,16627,17326,175,6771,15745,13753,175,7647,524
2801108,Canhoba,3666,3713,40,1675,3488,3033,40,1479,13
2801207,Canindé de São Francisco,26334,24179,275,11050,25172,22065,275,9559,314
2801306,Capela,31913,29477,315,12147,32102,28163,357,12436,662
2801405,Carira,19091,19429,195,10209,18439,16106,194,8590,457
2801504,Carmópolis,14082,13700,155,4719,12719,11479,155,4650,177
2801603,Cedro de São João,5215,5119,60,2571,4843,4478,60,2332,184
2801702,Cristinápolis,15769,16069,165,6280,15331,13622,165,5117,52
2801900,Cumbe,3807,3640,45,1632,3559,3281,45,1560,148
2802007,Divina Pastora,4518,4463,50,1879,4111,4000,50,2394,81
2802106,Estância,61018,59331,2500,25293,56443,52725,2510,26504,1250
2802205,Feira Nova,5285,5452,55,2661,5122,4533,57,2021,10
2802304,Frei Paulo,13567,13385,150,5393,13575,12582,150,5643,213
2802403,Gararu,10190,10407,120,4625,9941,9035,115,5143,304
2802502,General Maynard,3002,2815,35,1725,2688,2596,35,1812,129
2802601,Gracho Cardoso,5317,5281,65,2958,5672,5057,71,2687,158
2802700,Ilha das Flores,7602,7327,80,3026,7177,6130,80,3071,184
2802809,Indiaroba,15515,15594,145,4973,14849,14029,147,5715,279
2802908,Itabaiana,84026,78811,2400,47405,86989,76695,2519,43768,2159
2803005,Itabaianinha,36845,36527,370,9782,33600,28944,370,10721,280
2803104,Itabi,4604,4565,55,1993,4481,4085,56,2044,214
2803203,Itaporanga d'Ajuda,30646,32107,330,11137,30500,28240,330,14141,148
2803302,Japaratuba,15882,15922,175,6688,14905,13865,175,8615,534
2803401,Japoatã,11743,11703,135,6209,12243,10126,154,5627,189
2803500,Lagarto,92654,92856,2500,37357,89399,79524,2510,39165,1349
2803609,Laranjeiras,26613,27176,490,10608,25864,22458,502,12607,187
2803708,Macambira,6512,5993,70,3200,6404,5776,70,3320,271
2803807,Malhada dos Bois,3392,3373,40,1299,3069,3061,43,978,5
